group_key,domain,category,market_type,leaf_id,price_bin,horizon_bin,price_min,price_max,h_min,h_max,rule_bounds,direction,n_train,n_valid,n_test,n_full,q_smooth,q_raw_est,prior_mean,p_mean,edge_net,edge_sample,edge_std,roi,q_train,q_train_raw,p_train,edge_train,q_valid,p_valid,edge_valid,edge_raw_valid,edge_std_valid,edge_lower_bound_valid,p_value_valid,p_value_valid_adj,q_test,edge_test,rule_score,estimation_source,selection_status,q_trade,p_trade,edge_net_trade,edge_sample_trade,edge_std_trade,roi_trade,q_trade_valid,p_trade_valid,edge_net_trade_valid,edge_sample_trade_valid,edge_std_trade_valid,roi_trade_valid
nba.com|SPORTS|no_yes,nba.com,SPORTS,no_yes,71575394700465,0.50-0.60,2-4h,0.5,0.6,2,4,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 2, ""horizon_max"": 4}",1,356,38,0,394,0.9859550561797753,0.9859550561797753,,0.55125,0.4347050561797753,0.4347050561797753,0.8743307959023049,0.7885806007796377,0.9859550561797753,0.9859550561797753,0.55125,0.4347050561797753,1.0,0.5594605263157895,0.44053947368421054,0.44053947368421054,0.8877493493712962,0.3487265411003705,,,,,2.0571389297831972,train,selected,0.9859550561797753,0.55125,0.4347050561797753,0.4347050561797753,0.8743307959023049,0.7885806007796377,1.0,0.5594605263157895,0.44053947368421054,0.44053947368421054,0.8877493493712962,0.7874362049907101
UNKNOWN|POLITICS|no_yes,UNKNOWN,POLITICS,no_yes,187848540649746,0.30-0.40,>24h,0.3,0.4,24,1000,"{""price_min"": 0.3, ""price_max"": 0.4, ""horizon_min"": 24, ""horizon_max"": 1000}",1,182,27,9,218,0.5934065934065934,0.5934065934065934,,0.351282967032967,0.2421236263736264,0.24212362637362636,0.5084539048707389,0.6892552417746565,0.5934065934065934,0.5934065934065934,0.351282967032967,0.2421236263736264,0.8888888888888888,0.3492222222222222,0.5396666666666666,0.5396666666666666,1.1359353058299573,0.37019595233804825,,,0.5555555555555556,0.20972222222222225,2.0012439231206427,train,selected,0.5934065934065934,0.351282967032967,0.2421236263736264,0.24212362637362636,0.5084539048707389,0.6892552417746565,0.8888888888888888,0.3492222222222222,0.5396666666666666,0.5396666666666666,1.1359353058299573,1.545338848234171
UNKNOWN|POLITICS|no_yes,UNKNOWN,POLITICS,no_yes,221854332240754,0.30-0.40,4-6h,0.3,0.4,4,6,"{""price_min"": 0.3, ""price_max"": 0.4, ""horizon_min"": 4, ""horizon_max"": 6}",1,120,16,5,141,0.5583333333333333,0.5583333333333333,,0.3526416666666667,0.20569166666666666,0.20569166666666666,0.42996486607962103,0.5832880402675047,0.5583333333333333,0.5583333333333333,0.3526416666666667,0.20569166666666666,0.9375,0.36503125000000003,0.57246875,0.57246875,1.1944696369216539,0.3516760663197013,,,0.6,0.242,1.8100688229989779,train,selected,0.5583333333333333,0.3526416666666667,0.20569166666666666,0.20569166666666666,0.42996486607962103,0.5832880402675047,0.9375,0.36503125000000003,0.57246875,0.57246875,1.1944696369216539,1.5682732642753188
nba.com|SPORTS|no_yes,nba.com,SPORTS,no_yes,99541157918754,0.50-0.60,1-2h,0.5,0.6,1,2,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 1, ""horizon_max"": 2}",1,104,31,1,136,1.0,1.0,,0.5532596153846154,0.44674038461538457,0.4467403846153846,0.8986805354567917,0.8074697161924954,1.0,1.0,0.5532596153846154,0.44674038461538457,1.0,0.5565806451612904,0.44341935483870965,0.44341935483870965,0.8927737478496214,0.3331603541039556,,,1.0,0.46399999999999997,1.8026781263311573,train,selected,1.0,0.5532596153846154,0.44674038461538457,0.4467403846153846,0.8986805354567917,0.8074697161924954,1.0,0.5565806451612904,0.44341935483870965,0.44341935483870965,0.8927737478496214,0.7966848267068505
UNKNOWN|POLITICS|no_yes,UNKNOWN,POLITICS,no_yes,144076852802073,0.20-0.30,>24h,0.2,0.3,24,1000,"{""price_min"": 0.2, ""price_max"": 0.3, ""horizon_min"": 24, ""horizon_max"": 1000}",1,167,16,9,192,0.5449101796407185,0.5449101796407185,,0.25199401197604787,0.29291616766467066,0.29291616766467066,0.6737534202027836,1.162393365492004,0.5449101796407185,0.5449101796407185,0.25199401197604787,0.29291616766467066,0.8125,0.2646875,0.5478125,0.5478125,1.250198042526765,0.3052189013154177,,,0.0,-0.24883333333333335,1.7583142804509417,train,selected,0.5449101796407185,0.25199401197604787,0.29291616766467066,0.29291616766467066,0.6737534202027836,1.162393365492004,0.8125,0.2646875,0.5478125,0.5478125,1.250198042526765,2.0696576151121606
liquipedia.net|SPORTS|other,liquipedia.net,SPORTS,other,255771207982689,0.40-0.50,1-2h,0.4,0.5,1,2,"{""price_min"": 0.4, ""price_max"": 0.5, ""horizon_min"": 1, ""horizon_max"": 2}",-1,60,45,0,105,0.016666666666666666,0.016666666666666666,,0.4739333333333333,-0.45726666666666665,-0.45726666666666665,-0.9168747126416406,0.8692180965657077,0.016666666666666666,0.016666666666666666,0.4739333333333333,-0.45726666666666665,0.022222222222222223,0.4418222222222222,-0.41960000000000003,-0.41960000000000003,-0.8457955418170711,0.3261527583350341,,,,,1.718063265418938,train,selected,0.9833333333333333,0.5260666666666667,0.45726666666666665,0.45726666666666665,0.9168747126416406,0.8692180965657077,0.9777777777777777,0.5581777777777778,0.41960000000000003,0.41960000000000003,0.8457955418170711,0.7517318257823076
UNKNOWN|POLITICS|no_yes,UNKNOWN,POLITICS,no_yes,250856701809394,0.50-0.60,>24h,0.5,0.6,24,1000,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 24, ""horizon_max"": 1000}",1,207,27,5,239,0.7777777777777778,0.7777777777777778,,0.5518599033816425,0.2259178743961353,0.22591787439613528,0.45497133500037,0.4093754103383377,0.7777777777777778,0.7777777777777778,0.5518599033816425,0.2259178743961353,1.0,0.5461296296296296,0.45387037037037037,0.45387037037037037,0.9126665541736941,0.32931133322573447,,,1.0,0.42200000000000004,1.708532784086295,train,selected,0.7777777777777778,0.5518599033816425,0.2259178743961353,0.22591787439613528,0.45497133500037,0.4093754103383377,1.0,0.5461296296296296,0.45387037037037037,0.45387037037037037,0.9126665541736941,0.8310671052185412
nba.com|SPORTS|no_yes,nba.com,SPORTS,no_yes,5716728127164,0.40-0.50,1-2h,0.4,0.5,1,2,"{""price_min"": 0.4, ""price_max"": 0.5, ""horizon_min"": 1, ""horizon_max"": 2}",-1,116,42,0,158,0.0,0.0,,0.4445474137931035,-0.4445474137931035,-0.4445474137931035,-0.8946752513474546,0.8003336825359874,0.0,0.0,0.4445474137931035,-0.4445474137931035,0.023809523809523808,0.4473214285714286,-0.4235119047619048,-0.4235119047619048,-0.8528084160049241,0.32410661691894604,,,,,1.6706436046297064,train,selected,1.0,0.5554525862068965,0.4445474137931035,0.4445474137931035,0.8946752513474546,0.8003336825359874,0.9761904761904762,0.5526785714285714,0.4235119047619048,0.4235119047619048,0.8528084160049241,0.7662897145934304
twitch.tv|SPORTS|other,twitch.tv,SPORTS,other,27073563465690,0.50-0.60,1-2h,0.5,0.6,1,2,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 1, ""horizon_max"": 2}",1,134,26,1,161,1.0,1.0,,0.5291044776119403,0.47089552238805965,0.47089552238805965,0.9440190167334253,0.8899858956276444,1.0,1.0,0.5291044776119403,0.47089552238805965,1.0,0.5524038461538462,0.4475961538461538,0.4475961538461538,0.9002077391009787,0.3188631100415322,,,1.0,0.48250000000000004,1.6088018795701833,train,selected,1.0,0.5291044776119403,0.47089552238805965,0.47089552238805965,0.9440190167334253,0.8899858956276444,1.0,0.5524038461538462,0.4475961538461538,0.4475961538461538,0.9002077391009787,0.8102697998259355
twitch.tv|SPORTS|other,twitch.tv,SPORTS,other,19189978332394,0.50-0.60,2-4h,0.5,0.6,2,4,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 2, ""horizon_max"": 4}",1,154,25,1,180,1.0,1.0,,0.5198116883116883,0.48018831168831166,0.48018831168831166,0.9619258551028107,0.9237735943336123,1.0,1.0,0.5198116883116883,0.48018831168831166,1.0,0.5511400000000001,0.4488599999999999,0.44886,0.9024717360184153,0.31566350604682125,,,1.0,0.48950000000000005,1.5693363971433705,train,selected,1.0,0.5198116883116883,0.48018831168831166,0.48018831168831166,0.9619258551028107,0.9237735943336123,1.0,0.5511400000000001,0.4488599999999999,0.44886,0.9024717360184153,0.8144210182530753
